,Name,Host Name,Host Listing Count,Country,Property Type,Cancellation Policy,Bed Type,Minimum Night,Maximum Night,Accommondate,Amentities,N_Reviews,Price,Extra People,Guests
2146,"Porto, Costa Cabral Rooftop Apartment",Nadia Morais,2,Portugal,Apartment,strict_14_with_grace_period,Real Bed,2,1125,5,"['TV', 'Cable TV', 'Wifi', 'Kitchen', 'Elevator', 'Free street parking', 'Family/kid friendly', 'Washer', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'High chair', 'Room-darkening shades', 'Hot water', 'Bed linens', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Luggage dropoff allowed', 'Long term stays allowed', 'Host greets you']",31,49.00,0.00,1
2147,z1 Bedroom@Whole Apartment w/Lift,Stanley,54,Hong Kong,Apartment,strict_14_with_grace_period,Real Bed,1,1125,8,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Pets allowed', 'Doorman', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Room-darkening shades', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection', 'Microwave', 'Refrigerator', 'Dishes and silverware', 'Stove', 'Single level home', 'Patio or balcony', 'Luggage dropoff allowed', 'Long term stays allowed']",5,801.00,100.00,4
2148,Apartment in Copacabana Beach,Sandra,1,Brazil,Apartment,strict_14_with_grace_period,Real Bed,5,1125,6,"['TV', 'Air conditioning', 'Kitchen', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Fire extinguisher', 'Essentials', '24-hour check-in', 'Hangers', 'Private entrance', 'Hot water', 'Host greets you']",3,351.00,0.00,1
2149,Casa Montreal (Perfect for Family/Group)!,René,1,Canada,House,moderate,Real Bed,2,1125,12,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Free street parking', 'Heating', 'Family/kid friendly', 'Suitable for events', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Keypad', 'Private entrance', 'Bathtub', 'High chair', 'Room-darkening shades', 'Hot water', 'Bed linens', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Long term stays allowed']",55,199.00,40.00,4
2150,ENDLESS SUITES TAKSIM,Serhat,2,Turkey,Other,flexible,Real Bed,3,31,2,"['TV', 'Wifi', 'Air conditioning', 'Smoking allowed', 'Gym', 'Breakfast', 'Elevator', 'Heating', 'Family/kid friendly', 'Suitable for events', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Private living room']",4,258.00,0.00,1
2151,Private room with great breakfast,Ewa,6,Brazil,Bed and breakfast,strict_14_with_grace_period,Real Bed,2,1125,2,"['Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Breakfast', 'Pets live on this property', 'Cat(s)', 'Washer', 'Essentials', 'Lock on bedroom door', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Host greets you']",143,168.00,30.00,1
2152,Merkez'de Ferah BAHÇELİ DAİRE ! Sporsalonu/ 1+1,Irmak,1,Turkey,Serviced apartment,flexible,Airbed,1,1125,4,"['TV', 'Cable TV', 'Wifi', 'Wheelchair accessible', 'Kitchen', 'Smoking allowed', 'Pets allowed', 'Gym', 'Elevator', 'Heating', 'Washer', 'Carbon monoxide detector', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Private living room', 'Hot water', 'Pocket wifi', 'Microwave', 'Refrigerator', 'Dishwasher', 'Cooking basics', 'Patio or balcony', 'Garden or backyard', 'Luggage dropoff allowed', 'Long term stays allowed', 'Wide hallway clearance', 'Step-free access', 'Wide doorway', 'Well-lit path to entrance', 'Step-free access', 'Accessible-height bed', 'Step-free access', 'Accessible-height toilet', 'Step-free access', 'Wide entryway', 'Host greets you', 'Handheld shower head']",3,121.00,90.00,2
2153,LUXURY CONDO @TOUR DES CANADIENS,Johnny,6,Canada,Condominium,strict_14_with_grace_period,Real Bed,31,1125,5,"['TV', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Paid parking off premises', 'Gym', 'Elevator', 'Hot tub', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Long term stays allowed', 'Host greets you']",11,178.00,25.00,4
2154,Plaza España Apartment,Aline,100,Spain,Apartment,flexible,Real Bed,3,30,4,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Heating', 'Washer', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Bed linens', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Luggage dropoff allowed', 'Long term stays allowed', 'Host greets you']",12,100.00,0.00,1
2155,Varanda Porto,Bernardino,2,Portugal,House,flexible,Real Bed,1,30,2,"['TV', 'Wifi', 'Kitchen', 'Washer', 'Fire extinguisher', 'Essentials', 'Lock on bedroom door', 'Laptop friendly workspace']",3,39.00,0.00,1
2156,Luxury Suite in Sultanahmet #3,Savas,13,Turkey,Boutique hotel,flexible,Real Bed,2,1125,2,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Heating', 'Family/kid friendly', 'Washer', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Smart lock', 'Outlet covers', 'Room-darkening shades', 'Hot water', 'Luggage dropoff allowed']",191,121.00,60.00,2
2157,Design studio in Copacabana,Adriano,1,Brazil,Apartment,strict_14_with_grace_period,Real Bed,2,40,3,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Pets allowed', 'Doorman', 'Elevator', 'Free street parking', 'Family/kid friendly', 'Smoke detector', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Luggage dropoff allowed', 'Long term stays allowed', 'Host greets you']",95,149.00,0.00,1
2158,12 people or we can negotiate.,Fernando,2,Brazil,House,strict_14_with_grace_period,Real Bed,1,120,12,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Pets allowed', 'Doorman', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Essentials', 'Bed linens', 'Extra pillows and blankets']",0,1865.00,186.00,10
2159,1 bedroom VIP apartment near Bell Center - 501,Simplissimmo,73,Canada,Apartment,strict_14_with_grace_period,Real Bed,1,1125,2,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Elevator', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Keypad', 'Hot water', 'Bed linens', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Long term stays allowed', 'Full kitchen']",21,68.00,0.00,2
2160,The Porto Concierge - Tullins Palmeira Apartment,Roberto,1,Portugal,Apartment,moderate,Real Bed,2,1125,2,"['TV', 'Wifi', 'Kitchen', 'Elevator', 'Heating', 'Washer', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",16,50.00,0.00,1
2161,Copacabana Flat Palace,Rose,1,Brazil,Apartment,strict_14_with_grace_period,Real Bed,5,90,3,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Elevator', 'Family/kid friendly', 'Washer', 'Essentials', 'Hangers', 'Iron', 'Self check-in', 'Lockbox', 'Hot water']",5,97.00,30.00,1
2162,Convenient in Heart of the City **FREE PARKING**,Carl,7,Canada,Apartment,strict_14_with_grace_period,Real Bed,1,1125,6,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Paid parking off premises', 'Elevator', 'Free street parking', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Lockbox', 'Private living room', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Luggage dropoff allowed', 'Long term stays allowed', 'Step-free access', 'Step-free access', 'Step-free access']",71,85.00,10.00,2
2163,"Large Studio Apartment, 15-20mins from downtown",Katrina,2,United States,Apartment,strict_14_with_grace_period,Real Bed,30,365,2,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Pets allowed', 'Indoor fireplace', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Carbon monoxide detector', 'Essentials', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Private entrance', 'Hot water', 'Bed linens', 'Luggage dropoff allowed', 'Long term stays allowed', 'Other']",3,125.00,50.00,2
2164,Cosy Single Room in the Centre,Kate,3,Spain,Apartment,strict_14_with_grace_period,Real Bed,30,60,1,"['Wifi', 'Essentials']",0,29.00,0.00,1
2165,Casa com quatro quartos em área verde.,Ana Paula,1,Brazil,House,strict_14_with_grace_period,Real Bed,1,60,6,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Pets allowed', 'Family/kid friendly', 'Washer', 'Essentials', 'Lock on bedroom door', 'Laptop friendly workspace', 'Hot water']",0,298.00,50.00,4
2166,"""GREAT LOCATION COPACABANA BEACH = 60m2 =4 people""",Lea,2,Brazil,Apartment,strict_14_with_grace_period,Real Bed,4,80,4,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'Private entrance', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection', 'Pocket wifi', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Long term stays allowed', 'Wide hallway clearance', 'Step-free access', 'Wide doorway', 'Wide clearance to bed', 'Step-free access', 'Wide entryway', 'Host greets you', 'Beachfront']",3,776.00,0.00,4
