,Name,Host Name,Host Listing Count,Country,Property Type,Cancellation Policy,Bed Type,Minimum Night,Maximum Night,Accommondate,Amentities,N_Reviews,Price,Extra People,Guests
2134,luxury room  with toilet  for couples Or woman.bus,Tota,1,Australia,House,flexible,Real Bed,1,14,1,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Smoking allowed', 'Free street parking', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Private living room', 'High chair', 'Children’s books and toys', 'Hot water', 'Pocket wifi', 'Dishwasher', 'Oven', 'Stove', 'Garden or backyard', 'Host greets you']",12,45.00,12.00,1
2135,Ribeira - Dixo's Oporto Apartments IV,Aline,1,Portugal,Apartment,strict_14_with_grace_period,Real Bed,2,1125,4,"['TV', 'Wifi', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Elevator', 'Heating', 'Suitable for events', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Laptop friendly workspace', 'Private entrance', 'Crib', 'Hot water', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Well-lit path to entrance', 'Step-free access', 'Accessible-height bed', 'Step-free access', 'Host greets you', 'Waterfront', 'Handheld shower head', 'Paid parking on premises']",82,70.00,20.00,2
2136,"Private, double room in Barcelona",Aneta,6,Spain,Apartment,strict_14_with_grace_period,Real Bed,4,31,2,"['Wifi', 'Elevator', 'Essentials', 'Hangers', 'Laptop friendly workspace', 'Private living room']",0,60.00,0.00,1
2137,"Beautiful North Shore Oahu,3 Beds!",Rainey,1,United States,Guesthouse,moderate,Real Bed,1,365,4,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Free street parking', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Fire extinguisher', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Lockbox', 'Children’s books and toys', 'Hot water', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Long term stays allowed']",289,169.00,15.00,4
2138,Comfy bedroom in spacious apartment,Berky,3,Hong Kong,Apartment,flexible,Real Bed,28,1125,1,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Washer', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Long term stays allowed', 'Host greets you', 'Waterfront']",3,251.00,0.00,1
2139,Beautiful interior designed flat in Montjüic,Laura & Alex,17,Spain,Apartment,moderate,Real Bed,6,1125,4,"['TV', 'Wifi', 'Kitchen', 'Heating', 'Family/kid friendly', 'Washer', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Bed linens', 'Microwave', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Long term stays allowed', 'Host greets you']",5,25.00,0.00,4
2140,Cozy Room for 2 ppl in Mong Kok-A,Jimmy,14,Hong Kong,Apartment,strict_14_with_grace_period,Real Bed,28,1125,2,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'Lock on bedroom door', 'Long term stays allowed']",0,400.00,0.00,1
2141,1-Bedroom apartment at Icône Condos - 1105,Simplissimmo,73,Canada,Apartment,strict_14_with_grace_period,Real Bed,180,1125,2,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Gym', 'Elevator', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Hair dryer', 'Hot water', 'Host greets you']",0,93.00,0.00,2
2142,♕ Downtown Manhattan I Private Bedroom♕,Edhar,10,United States,Apartment,strict_14_with_grace_period,Real Bed,1,1125,2,"['Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Lockbox', 'Private living room', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection', 'Pocket wifi', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Wide doorway', 'Flat path to front door', 'Well-lit path to entrance', 'Step-free access', 'Wide doorway', 'Wide clearance to bed', 'Accessible-height toilet', 'Step-free access']",53,90.00,19.00,1
2143,Urban Venture @McGill Ghetto Social experience,McGill Ghetto,17,Canada,Apartment,flexible,Real Bed,1,1125,2,"['TV', 'Wifi', 'Kitchen', 'Paid parking off premises', 'Free street parking', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Smart lock', 'Hot water']",117,30.00,0.00,1
2144,Sydney CBD one Bedroom Resort Style Apt (我們會說中文),Coffee,10,Australia,Apartment,strict_14_with_grace_period,Real Bed,1,60,4,"['TV', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Paid parking off premises', 'Gym', 'Elevator', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Private entrance', 'Hot water', 'Host greets you']",62,151.00,30.00,2
2145,Habitación con terraza y mucha luz en el centro.,Lola,1,Spain,Apartment,flexible,Real Bed,1,3,2,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Elevator', 'Heating', 'Family/kid friendly', 'Washer', 'First aid kit', 'Safety card', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Children’s books and toys', 'Hot water', 'Luggage dropoff allowed', 'Host greets you', 'Paid parking on premises']",0,30.00,0.00,1
